Reported_Date,Bullish,Neutral,Bearish,Total,Bullish_8-week_Mov_Avg,Bull-Bear_Spread,Bullish_Average,Bullish_Average_=+St. Dev.,Bullish_Average_=- St. Dev.,S&P500_Weekly_High,S&P500_Weekly_Low,S&P500_Weekly_Close
2/8/1991,0.36000,0.28000,0.36000,1.00000,0.26380,0.00000,0.38300,0.48400,0.28100,359.35,343.05,359.35
2/15/1991,0.46000,0.30000,0.24000,1.00000,0.30130,0.22000,0.38300,0.48400,0.28100,369.06,359.35,369.06
2/22/1991,0.57000,0.20000,0.23000,1.00000,0.33500,0.34000,0.38300,0.48400,0.28100,369.39,365.14,365.65
3/1/1991,0.50000,0.18000,0.32000,1.00000,0.35880,0.18000,0.38300,0.48400,0.28100,370.42,362.81,370.42
3/8/1991,0.50000,0.21000,0.29000,1.00000,0.39380,0.21000,0.38300,0.48400,0.28100,376.72,369.33,374.95
3/15/1991,0.55000,0.22000,0.23000,1.00000,0.43500,0.32000,0.38300,0.48400,0.28100,374.57,370.03,373.59
3/22/1991,0.42000,0.31000,0.27000,1.00000,0.45630,0.15000,0.38300,0.48400,0.28100,372.11,366.58,367.48
3/29/1991,0.47000,0.28000,0.25000,1.00000,0.47880,0.22000,0.38300,0.48400,0.28100,376.30,369.83,375.22
4/5/1991,0.58000,0.22000,0.20000,1.00000,0.50630,0.38000,0.38300,0.48400,0.28100,379.77,371.30,375.36
4/12/1991,0.43000,0.32000,0.25000,1.00000,0.50250,0.18000,0.38300,0.48400,0.28100,380.40,373.15,380.40
4/19/1991,0.39000,0.39000,0.22000,1.00000,0.48000,0.17000,0.38300,0.48400,0.28100,390.45,381.19,384.20
4/26/1991,0.55000,0.28000,0.17000,1.00000,0.48630,0.38000,0.38300,0.48400,0.28100,382.76,379.02,379.02
5/3/1991,0.39000,0.33000,0.28000,1.00000,0.47250,0.11000,0.38300,0.48400,0.28100,380.80,373.66,380.80
5/10/1991,0.38000,0.34000,0.28000,1.00000,0.45130,0.10000,0.38300,0.48400,0.28100,383.25,375.74,375.74
5/17/1991,0.42000,0.32000,0.26000,1.00000,0.45130,0.16000,0.38300,0.48400,0.28100,376.76,368.57,372.39
5/24/1991,0.38000,0.39000,0.23000,1.00000,0.44000,0.15000,0.38300,0.48400,0.28100,377.49,372.28,377.49
5/31/1991,0.42000,0.35000,0.23000,1.00000,0.42000,0.19000,0.38300,0.48400,0.28100,389.83,381.94,389.83
6/7/1991,0.46000,0.37000,0.17000,1.00000,0.42380,0.29000,0.38300,0.48400,0.28100,388.06,383.63,379.43
6/14/1991,0.47000,0.31000,0.22000,1.00000,0.43380,0.25000,0.38300,0.48400,0.28100,382.29,376.65,382.29
6/21/1991,0.44000,0.40000,0.16000,1.00000,0.42000,0.28000,0.38300,0.48400,0.28100,380.13,375.09,377.75
6/28/1991,0.28000,0.37000,0.35000,1.00000,0.40630,-0.07000,0.38300,0.48400,0.28100,374.40,370.65,371.16
7/3/1991,0.28000,0.39000,0.33000,1.00000,0.39380,-0.05000,0.38300,0.48400,0.28100,377.92,373.33,374.08
7/12/1991,0.41000,0.39000,0.20000,1.00000,0.39250,0.21000,0.38300,0.48400,0.28100,380.25,375.74,380.25
